X,Y,facility_management_type,facility_infastructure_type,facility_name,address,suburb,postcode
143.251694,-37.191044,DROP-OFF,E-WASTE DROP-OFF FACILITY,ARARAT RESOURCE RECOVERY CENTRE,SURFACE HILL ROAD,ELMHURST,3469.0
143.39575,-37.42504,DROP-OFF,E-WASTE DROP-OFF FACILITY,BEAUFORT TRANSFER STATION,RACECOURSE ROAD,BEAUFORT,3373.0
146.001273,-36.511326,DROP-OFF,E-WASTE DROP-OFF FACILITY,BENALLA RESOURCE RECOVERY CENTRE,OLD FARNLEY ROAD,BENALLA,3672.0
147.890697,-36.220985,DROP-OFF,E-WASTE DROP-OFF FACILITY,CORRYONG TRANSFER STATION,SUGARLOAF ROAD,CORRYONG,3707.0
144.130618,-37.334377,DROP-OFF,E-WASTE DROP-OFF FACILITY,DAYLESFORD TRANSFER STATION,AJAX ROAD,DAYLESFORD,3460.0
141.279649,-37.038263,DROP-OFF,E-WASTE DROP-OFF FACILITY,EDENHOPE TRANSFER STATION,MOSS STREET,EDENHOPE,3318.0
146.637923,-36.301597,DROP-OFF,E-WASTE DROP-OFF FACILITY,ELDORADO TRANSFER STATION,WOOLSHED ROAD,BEECHWORTH,3747.0
146.920064,-38.103092,DROP-OFF,E-WASTE DROP-OFF FACILITY,KILMANY LANDFILL,VELORE ROAD,KILMANY,3851.0
142.8236,-37.704218,DROP-OFF,E-WASTE DROP-OFF FACILITY,LAKE BOLAC RESOURCE RECOVERY CENTRE,RUBBISH TIP ROAD,LAKE BOLAC,3351.0
147.174674,-36.7293,DROP-OFF,E-WASTE DROP-OFF FACILITY,MOUNT BEAUTY TRANSFER STATION,MADDISONS LANE,MOUNT BEAUTY,3699.0
146.45306,-37.1363,DROP-OFF,E-WASTE DROP-OFF FACILITY,MOUNT BULLER TRANSFER STATION,BOGGY CORNER,MOUNT BULLER,3723.0
146.761577,-36.543607,DROP-OFF,E-WASTE DROP-OFF FACILITY,MYRTLEFORD TRANSFER STATION,6 MORRISONS LANE,BARWIDGEE,3737.0
142.325982,-35.094543,DROP-OFF,E-WASTE DROP-OFF FACILITY,OUYEN LANDFILL,DUNKLEY ROAD,OUYEN,3490.0
144.9570923,-37.64239502,RECYCLING,E-WASTE RECYCLING FACILITY,TES-AMM VICTORIA,29 FILO DRIVE,SOMERTON,3062.0
