postcode,total_electricity_kwh,total_emissions_kg_co2e,average_intensity_kwh_per_customer_per_annum,average_emissions_kg_co2e_per_customer_per_annum,rest_of_municipality_total_electricity_kwh,rest_of_municipality_emissions_kg_co2e,emission_source
3156,2443878.6666666665,2500171.0,9387.666666666666,9602.666666666666,529128756.0,489503041.0,Electricity
3177,16733137.666666666,17101717.0,3668.0,3751.3333333333335,514477613.6666667,474568562.0,Electricity
3802,37002866.666666664,37854834.0,4325.333333333333,4426.0,494207884.6666667,453815445.0,Electricity
3803,15531731.666666666,15914688.333333334,3966.0,4060.3333333333335,515679019.6666667,475755591.0,Electricity
3804,18806043.333333332,19257487.666666668,8171.666666666667,8368.666666666666,512404707.6666667,472412791.0,Electricity
3805,83472425.0,85591973.33333333,4347.333333333333,4456.333333333333,447738326.0,406078305.6666667,Electricity
3806,85313586.33333333,87406052.33333333,4627.666666666667,4745.333333333333,445897164.6666667,404264226.6666667,Electricity
3807,1099107.3333333333,1124918.6666666667,5754.0,5889.0,530111644.0,490545360.3333333,Electricity
3912,9399742.333333334,9655376.666666666,6169.666666666667,6336.333333333333,521811008.6666667,482014902.6666667,Electricity
3975,20352985.333333332,20874206.666666668,3945.3333333333335,4041.0,510857765.3333333,470796072.3333333,Electricity
3976,31545745.0,32363505.333333332,3702.3333333333335,3795.3333333333335,499665006.0,459306773.6666667,Electricity
3977,149760671.33333334,152431177.0,4156.333333333333,4253.666666666667,381450080.0,339239102.3333333,Electricity
3978,50027311.333333336,50853051.333333336,3444.6666666666665,3523.6666666666665,481183440.0,440817227.3333333,Electricity
3980,10321419.666666666,10576386.666666666,7786.333333333333,7982.333333333333,520889331.3333333,481093892.3333333,Electricity
