postcode,total_gas_gj,total_emissions_kg_co2e,average_intensity_gj_per_customer_per_annum,average_emissions_kg_co2e_per_customer_per_annum,rest_of_municipality_total_gas_gj,rest_of_municipality_emissions_kg_co2e,emission_source
3156,13345.0,741100.0,58.0,3236.0,6415655.666666667,402259171.3333333,Gas
3177,194565.0,10804216.0,41.0,2328.0,6234435.666666667,392196055.6666667,Gas
3802,520361.0,28895656.0,61.0,3389.0,5908639.666666667,374104615.0,Gas
3803,192591.0,10694626.0,50.333333333333336,2824.0,6236410.0,392305645.3333333,Gas
3804,164322.33333333334,9124850.333333334,79.33333333333333,4429.666666666667,6264678.666666667,393875421.0,Gas
3805,1085519.0,60278894.333333336,57.333333333333336,3210.0,5343482.0,342721377.0,Gas
3806,1057095.0,58700505.0,58.666666666666664,3286.0,5371906.0,344299766.3333333,Gas
3807,10252.666666666666,569339.0,59.0,3287.3333333333335,6418748.333333333,402430932.6666667,Gas
3912,62930.0,3494529.6666666665,48.0,2691.3333333333335,6366070.666666667,399505741.6666667,Gas
3975,282458.0,15684931.666666666,55.0,3075.6666666666665,6146543.0,387315339.6666667,Gas
3976,405551.3333333333,22520285.666666668,47.333333333333336,2652.0,6023450.0,380479986.0,Gas
3977,1790065.0,99402339.66666667,47.0,2645.0,4638936.333333333,303597931.3333333,Gas
3978,639917.0,35534620.666666664,43.333333333333336,2428.0,5789084.0,367465650.3333333,Gas
