year,postcode,emission_source,average_emissions_per_customer_kg_co2e
2021,3802,Electricity,4549.0
2021,3807,Electricity,6147.0
2021,3978,Electricity,3968.0
2021,3803,Gas,2831.0
2021,3806,Gas,3292.0
2021,3976,Gas,2648.0
2020,3156,Gas,3236.0
2020,3804,Electricity,8932.0
2020,3806,Electricity,5130.0
2020,3807,Gas,3567.0
2020,3975,Electricity,4315.0
2020,3976,Gas,2736.0
2020,3978,Gas,2422.0
2020,3980,Gas,
2022,3156,Electricity,8686.0
2022,3802,Electricity,3991.0
2022,3803,Electricity,3607.0
2022,3805,Electricity,3860.0
2022,3807,Electricity,5272.0
2022,3912,Electricity,5300.0
2022,3978,Electricity,3135.0
2022,3177,Gas,2328.0
2022,3802,Gas,3389.0
2022,3805,Gas,3131.0
2022,3807,Gas,2840.0
2022,3975,Gas,3046.0
2022,3977,Gas,2576.0
2021,3156,Electricity,10046.0
2021,3177,Electricity,3801.0
2021,3805,Electricity,4661.0
2021,3980,Electricity,8346.0
2021,3156,Gas,3236.0
2021,3804,Gas,4457.0
2021,3807,Gas,3455.0
2021,3912,Gas,2691.0
2021,3977,Gas,2646.0
2021,3978,Gas,2413.0
2021,3980,Gas,
2020,3177,Gas,2328.0
2020,3802,Gas,3389.0
2020,3803,Gas,2863.0
2020,3804,Gas,4529.0
2020,3806,Gas,3386.0
2020,3912,Electricity,7151.0
2020,3977,Gas,2713.0
2020,3977,Electricity,4510.0
2020,3978,Electricity,3468.0
2020,3980,Electricity,8682.0
2022,3177,Electricity,3429.0
2022,3804,Electricity,7405.0
2022,3806,Electricity,4093.0
2022,3156,Gas,3236.0
2022,3976,Gas,2572.0
2022,3978,Gas,2449.0
2022,3980,Gas,
2021,3803,Electricity,4245.0
2021,3804,Electricity,8769.0
2021,3806,Electricity,5013.0
2021,3912,Electricity,6558.0
2021,3975,Electricity,4248.0
2021,3976,Electricity,3956.0
2021,3977,Electricity,4427.0
2021,3177,Gas,2328.0
2021,3802,Gas,3389.0
2021,3805,Gas,3210.0
2021,3975,Gas,3069.0
2020,3156,Electricity,10076.0
2020,3177,Electricity,4024.0
2020,3802,Electricity,4738.0
2020,3803,Electricity,4329.0
2020,3805,Electricity,4848.0
2020,3805,Gas,3289.0
2020,3807,Electricity,6248.0
2020,3912,Gas,2792.0
2020,3975,Gas,3112.0
2020,3976,Electricity,4132.0
2022,3975,Electricity,3560.0
2022,3976,Electricity,3298.0
2022,3977,Electricity,3824.0
2022,3980,Electricity,6919.0
2022,3803,Gas,2778.0
2022,3804,Gas,4303.0
2022,3806,Gas,3180.0
2022,3912,Gas,2591.0
